topPostAverStayTime totalPostCount
4201.84 34765
1845.42 13252
2136.19 24081
1738.01 11053
731.85 105707
1271.71 971
1146.25 1021
6311.66 86
2654.54 31
7135.78 59
7199.04 53
1901.89 62273
1227.99 12357
1125.97 20256
2245.72 4443
2746.63 7066
3141.32 33117
1091.01 5249
7685.86 9340
12809.08 10250
1384.13 2171
6318.75 964
10521.28 1265
2472.88 1667
1144.89 996
5270.57 682
618.09 208
2408.19 31
134.46 72303
98.8 339846
144.17 32489
796.64 47925
671.48 72805
707.72 13763
1485.77 12632
3954.78 8082
371.28 4950
1186.91 2500
3151.63 30593
2218.26 3530
3586.73 14834
3286.33 5546
3109.33 4251
8195.45 982
3927.09 1013
336.53 606
7551.44 4286
4833.49 2285
9358.35 1187
3120.64 582
2724.65 105
9176.25 130
10497.16 147
8882.4 131
2210.55 184
5436.23 109
7719.49 62
8451.19 22
8762.93 13
22105.92 14
72.73 1391411
561.57 27809
232.07 174223
559.55 86265
119.46 104698
461.33 32929
335 114721
550.54 115367
1205.35 41233
307.9 55334
312.49 34003
934.59 28190
476.18 23603
300.57 35858
159.12 32309
352.24 19855
658.17 13819
4553.13 11400
3029.35 10817
269.88 15958
5416.65 8747
1068.78 7237
3519.54 1278
1214.64 2304
2420.12 12030
1287.71 6485
1820.46 1710
2243.26 5132
4892.7 8971
2613.27 9174
816.78 1134
4681.96 6747
5710.24 4277
1575.02 3426
178.05 395904
5456.13 2321
1137.76 3615
9407.01 2425
2579.76 1624
2333.07 4945
2223.39 3618
2317.49 1866
3180.99 2100
3524.88 3686
4034.05 2806
8838.48 3680
2120.31 1787
5253.28 3183
1003.96 2019
11964.61 4561
6742.06 4855
3649.16 6181
636.89 4852
1849.46 3982
9346.45 3516
1853.16 1410
249.02 1182
2920.99 2397
5.2 2716
4821.96 1250
574.48 1536
605.24 2319
4704.56 1434
10597.27 32093
4304.59 1689
1698.23 1248
13431.17 27226
1907.25 1063
1491.05 1095
7196.45 1525
2069.85 48905
6526.69 1040
2632.19 26343
3694.97 1436
708.7 1394
10555.26 876
767.41 1155
120.92 1075
1200.43 1079
265.35 22598
1598.84 5861
2134.33 613
27.43 939
2645.29 344
411.85 1038
9394.21 20345
4064.59 804
6176.07 11862
1654.43 804
314.84 550
23.88 1750121
255.43 54566
502.65 38722
494.71 17211
281.18 60723
834.81 40655
453.5 36404
931.05 32169
365.96 25045
360.32 23943
1329.89 77329
230.93 61397
195.58 32471
1661.6 7887
751.84 17591
874.66 3287
4627.07 2768
3624.25 4835
5666.51 12307
79.21 340815
2784.93 14610
315.92 5131
1515.25 3897
2469.94 1189
1786.26 4909
9113.94 1230
4898.35 9900
7418.99 9399
2629.02 6438
2164.65 1549
4786.77 3463
3784.97 2305
3395.69 3468
7442.69 5737
2999.52 810
3806.63 895
5165.5 1321
3056.83 1079
5883.82 1511
3796.05 3333
3104.5 3387
237.52 887
2847.81 589
6226.61 3362
5409.9 1155
1749.94 256
7486.12 2269
5271.62 1467
4380.94 4739
4217.44 1009
3486.5 308
3651.98 564
5971.6 1567
2270.71 915
5530.2 1795
1104.4 2893
5893.22 2452
2058.97 197
8552.28 415
5745.26 1437
393.79 176
4915.42 295
7829.71 469
3426.85 316
7439.42 801
3699.36 760
2536.27 479
6912.95 9405
1419.95 467
2520.24 362
5987.54 676
162.28 23441
2696.5 265
2245.72 161
6410.07 259
5351.69 6864
13699.48 276
11068.26 303
1204.7 158
2337.25 171
2742.09 394
3838.68 133
3769.32 409
512.53 6747
1130.06 20778
1737.43 28275
1715.54 3828
4192.19 4298
5173.95 1316
3727.47 9105
2032.76 2365
7300.02 10687
3757.77 228
769.38 171
312.66 65497
30.72 850355
92.85 161988
71.68 419029
43.76 41977
146.39 52973
228.99 103604
107.59 9627
92.3 32951
878.32 22406
1000.39 9897
71.97 14326
563.87 17981
300.65 2411
427.13 10970
5777.88 17427
1202.38 990
1345.26 27557
1098.89 17748
628.02 17955
326 6102
2353.33 3787
681.42 3332
665.37 1175
266.37 1013
1216.04 1173
481.17 1310
1070.48 13656
3082.47 8097
317.6 781
6832.48 5848
4378.62 4119
815.55 1114
1247.61 3183
1079.1 1334
1680.03 774
2019.67 1124
2140.14 2792
4315.91 1415
59.05 25474
3667.99 703
3917.15 629
337.4 1328
1800.73 215
2235.35 1213
3196.63 1423
7423.31 698
4256.15 2052
3267.4 1011
13577.33 37
3247.33 340
138.08 122
6882.23 458
11870.73 512
2296.84 640
3578.26 30
540.69 272
4328.8 774
5401.28 466
553.76 228
4758.43 522
2146.25 239
7847.79 486
5959.47 493
