tag,x,y
"방배카페골목",2943.26,0.01
"방배동속눈썹펌",8640.75,0
"방배동pt",8450.44,0
"방배동인테리어",4145.91,0
"방배동꽃배달",345.02,0
"방배동핫플",2145.37,0
"준오헤어방배2호점",4567.9,0
"방배pt",5961.62,0
"방배점",8716.01,0
"방배동피부관리실",8841.85,0
"방배동술집",3133.29,0
"방배헬스",5227.11,0
"방배호빠",70.31,0.83
"방배동카페거리",5345.22,0
"방배동헬스",7446.73,0
"방배타투",3356.87,0
"방배동사이길",7562.94,0
"방배동성당",1601.86,0
"방배카페거리",3171.27,0
"새마을휘트니스방배점",8794.25,0
"방배동타투",2552.12,0
"방배동맘",1059.83,0
"방배술집",4588.67,0
"방배피티",8390.19,0
"방배스튜디오",4954.63,0
"방배역치과",3719.56,0
"방배동헤어샵",955.59,0
"방배동원룸",3056.73,0
"팀방배",1818.26,0
"방배동족발",1428.27,0
"방배조개창고",3193.7,0
"방배동보쌈",2075.37,0
"방배동42길",15148.03,0
"방배웨딩홀",2417.15,0
"방배동성인용품",9197.58,0
"방배1호점",11933.24,0
"방배동안경",8494.83,0
"방배동pc방",9418.01,0
"봉천동",336.08,0.08
"봉천",920.89,0.08
"봉천동맛집",403.66,0.04
"봉천동꽃집",493.54,0.01
"봉천맛집",2487.79,0.01
"봉천역맛집",2686.5,0.01
"봉천속눈썹",1058.85,0
"봉천역",1613.86,0.01
"봉천애견미용",105.87,0
"봉천동원룸",931.29,0
"봉천동태닝",421.75,0
"봉천동족발",3093.68,0
"봉천예술관",5108.26,0
"봉천동인테리어",1931.83,0
"봉천역속눈썹",2610.89,0
"봉천동야식",1424.61,0
"봉천동보쌈",1398.98,0
"봉천황소곱창",4018.79,0
"사당",160.32,0.32
"사당맛집",236.8,0.14
"사당역",176.77,0.08
"사당역맛집",537.05,0.05
"사당네일",83.93,0.04
"사당족발",60.21,0.03
"국회의사당",489.59,0.06
"사당카페",756.41,0.04
"사당눈썹문신",636.77,0.01
"국회의사당맛집",544.13,0.02
"사당반영구",275.82,0.02
"사당속눈썹",702.46,0.02
"사당미용실",934.76,0.02
"사당역카페",1848.05,0.01
"사당동",1307.36,0.02
"사당꽃집",1218.61,0.01
"사당술집",5442.46,0.01
"사당속눈썹펌",4826.97,0.01
"사당역미용실",1374.69,0.01
"사당댄스학원",2226.31,0
"국회의사당역",2320.55,0.01
"사당댄스",1402.32,0
"사당메이크업",652.35,0
"사당눈썹",195.43,0
"사당동맛집",4792.32,0.01
"사당역술집",1292.54,0.01
"사당동네일",2800.91,0.01
"사당동카페",4294.54,0.01
"사당맛집추천",2402.18,0
"사당맘",5078.06,0
"국회의사당역맛집",2260.07,0
"사당역데이트",2877.45,0
"사당연습실",2286.46,0.01
"사당동떡집",10663.99,0
"사당허벌라이프",3649.26,0
"사당다이어트",3704.64,0
"사당점핑",3466.97,0
"사당맥주",3319.43,0
"사당곱창",2520.3,0
"사당호빠",2234.79,1.09
"사당피부관리",5756.52,0
"사당역맛집추천",2501.68,0
"사당역고기집",3608.9,0
"사당태닝",1663.53,0
"사당원룸",2876.93,0
"사당역요가",857.62,0
"사당웨딩홀",5885.62,0
"사당허벌",9053.34,0
"사당마사지",2777.14,0
"사당역피부관리",7083.56,0
"사당포장",16144.47,0
"사당키스방",4296.62,0
"사당동성인용품",5035.82,0
"사당역만화카페",18990.48,0
"사당동웨딩홀",3181.84,0
"삼성역",44.03,0.33
"삼성역맛집",283.95,0.04
"삼성역카페",1201.47,0.01
"삼성역회식",2108.34,0
"삼성역술집",2426.36,0
"삼성역맛집추천",2560.51,0.01
"이대삼성홀",5748.53,0
"삼성역헬스",701.91,0
"삼성역포토스팟",3771.98,0
"상왕십리",3197.88,0.02
"상왕십리맛집",4991.69,0.01
"상왕십리미용실",1361.11,0
"상왕십리역",6329.42,0
"상왕십리역맛집",2744.23,0
"상왕십리스타벅스",5277.68,0
"서울대입구",28.59,0.61
"서울대입구역",87.98,0.08
"서울대입구맛집",132.03,0.09
"서울대입구역맛집",447.44,0.04
"서울대입구네일",1446.24,0.04
"서울대입구카페",1616.23,0.03
"서울대입구미용실",655.3,0.01
"서울대입구꽃집",511.32,0.01
"서울대입구역꽃집",564.65,0.01
"서울대입구속눈썹",483.5,0.01
"서울대입구네일샵",1984.19,0.02
"서울대입구속눈썹연장",544,0.01
"서울대입구역미용실",3741.59,0.01
"서울대입구역네일",599.6,0
"서울대입구헬스",8536.26,0.01
"서울대입구헬스장",8142.54,0.01
"서울대입구원룸",830.21,0.01
"서울대입구맛집추천",12517.54,0
"서울대입구역맛집추천",11303.52,0
"서울대입구피부관리실",735.21,0
"서울대입구쌀국수",1837.89,0
"서울대입구피부관리",583.24,0
"서울대입구치과",3935.2,0
"올리브영서울대입구중앙점",657.94,0
"서울대입구가죽공방",4050.33,0
"서울대입구역태닝",6450.04,0
"선릉",12.39,0.37
"선릉반영구",88.17,0.03
"선릉눈썹문신",106.09,0.03
"선릉역맛집",299.55,0.19
"선릉속눈썹",485,0.02
"선릉맛집",182.52,0.2
"선릉역",438.74,0.1
"선릉왁싱",509.21,0.02
"선릉카페",1473.82,0.02
"선릉술집",5442.49,0.01
"선릉역고기집",2039.53,0.05
"선릉회식",469.68,0
"선릉미용실",751.15,0.01
"선릉고기집",2173.92,0.04
"선릉역카페",2808.17,0.01
"선릉역술집",6763.24,0
"선릉역데이트",2753.34,0.05
"선릉역반영구",5195.97,0
"아펠가모선릉",3676.04,0
"선릉공원",6358.45,0
"선릉자연눈썹",1686.38,0
"선릉역매운떡볶이",3676.18,0
"선릉호빠",85.77,0.99
"선릉점심",4024.69,0
"선릉반영구화장",4252.03,0
"선릉눈썹",1283.2,0
"선릉맛집추천",4276.32,0
"선릉역4번출구",6464.67,0
"끌리메선릉점",5107.92,0
"선릉역왁싱",9268.91,0
"선릉역5번출구",4121.93,0
"선릉역맥주",11677.22,0
"선릉맘",2362.59,0
"선릉고깃집",1614.78,0
"선릉요가",2646.78,0
"선릉역눈썹문신",2748.58,0
"선릉아펠가모",2363.02,0
"선릉안마",2722.15,0
"선릉밥집",3596.33,0
"선릉카페추천",3193.37,0
"선릉역떡볶이",3901.09,0
"선릉과정릉",3250.6,0
"선릉역자연눈썹",5923.38,0
"선릉로",2247.68,0
"선릉역2번출구",2011.18,0
"선릉역반영구화장",1385.14,0
"선릉역디저트",4224.14,0
"선릉동",16144.8,0
"선릉매운떡볶이",3752.55,0
"선릉역파스타",4245.8,0
"선릉가죽공방",2630.08,0
"선릉떡볶이",1867.8,0
"선릉댄스",3361.59,0
"선릉바",2108.8,0
"선릉고기",3586.01,0
"선릉역전자담배",2866.09,0
"선릉룸싸롱",3264.78,0
"선릉백마",4079.36,0
"선릉역사무실",3247.37,0
"한스헤어선릉",6290.44,0
"선릉동맛집",14973.11,0
"선릉풀싸롱",4198.21,0
"선릉역남자눈썹",5230.99,0
"선릉혼술",1888.74,0
"선릉야구장",8081.22,0
"선릉식당",12197.17,0
"선릉건마",12427.52,0
"선릉오피",4940.61,0
"선릉1인샵",13861.17,0
"선릉매직미러",27802.16,0
"선릉풀사롱",26669.52,0
"성수동",12.59,1.07
"성수동카페",30.3,1.01
"성수동맛집",136.9,0.21
"성수카페",57.84,0.21
"성수",54.25,0.24
"성수맛집",179.06,0.12
"성수동핫플레이스",371.33,0.05
"성수동데이트",365.53,0.03
"성수역",365.31,0.06
"성수동핫플",281.34,0.03
"성수역맛집",983.71,0.04
"성수역카페",585.22,0.02
"성수동카페거리",432.57,0.03
"성수동디저트",556.96,0.02
"성수동수제화",352.1,0.02
"성수핫플",3121.02,0.01
"성수동술집",2686.76,0.01
"성수동카페추천",5164.21,0
"성수데이트",2929.16,0.01
"성수동나들이",2370.75,0.01
"성수카페거리",4847.91,0.01
"성수동옷가게",4487.66,0.01
"성수동어니언",5151.97,0
"성수동속눈썹",5841.83,0
"성수족발",4047.29,0.01
"성수핫플레이스",4549.9,0
"성수동브런치",9102.4,0
"소문난성수감자탕",6895.12,0
"성수동요가",2576.43,0
"성수동가죽공방",5065.87,0
"성수동전시",3294.78,0
"성수동스무디",3030.43,0
"성수동수제화거리",1398.69,0
"성수수제화",3705.1,0
"성수동갤러리",2693.06,0
"띵굴성수",1456.4,0
"성수맥주",7171.04,0
"성수동루프탑",7187.42,0
"성수동가볼만한곳",4365.43,0
"성수동공장",8444.18,0
"이마트성수점",2822.17,0
"성수가죽공방",3517.39,0
"성수맛집추천",2362.86,0
"성수동2가",1650.39,0
"성수브런치",3160.16,0
"성수역3번출구",6117.15,0
"여성수제화쇼핑몰",3411.82,0
"성수동간판",942.04,0
foodstagram,1.38,5.6
instafood,1.96,6.24
food,1.9,5.1
"도시락",12.03,1.95
"맛스타",9.51,2.07
"맛스타그램",2.62,4.55
"맛있다그램",6.63,1.3
"맛집스타그램",10.53,1.88
"연남동맛집",32.05,0.83
"홍대맛집",13.69,1.77
"맛집",5.12,4.2
"맛집추천",12.26,0.77
"이태원맛집",17.89,1.01
"역삼동맛집",34.44,0.16
"신촌맛집",25.13,0.71
"강남맛집",15.75,1.08
"샤로수길맛집",70.44,0.16
"홍대맛집추천",58.55,0.16
"강남맛집추천",512.79,0.07
"신촌맛집추천",1131.97,0.13
"이태원맛집추천",273.99,0.06
"잠실맛집추천",217.52,0.02
"연남동맛집추천",460.65,0.03
"합정맛집추천",2111.04,0.01
"강남역맛집추천",589.17,0.06
"망원동맛집추천",3669.5,0
"맛집탐방",34.44,0.71
"광화문맛집탐방",1844.37,0
"성수동맛집탐방",6621.34,0
"먹방",3.52,4.19
"먹방스타그램",16.37,1.9
"신촌먹방",785.31,0
"먹부림",25.54,0.58
"먹스타",11.12,3.14
"먹스타그램",2.43,4.93
"성수동놀거리",3129.66,0
"성수동어딘가",3201.95,0
"성수동트리마제",7076.56,0
"성수동사람들",2395.59,0
"성수역4번출구",1524.96,0
"성수동까페거리",4986.42,0
"성수고",2193.7,0
"성수스타그램",5708.88,0
"성수동구두거리",2681.43,0
"성수수제화거리",2872.31,0
"성수동식당",2957.97,0
"성수동스시",9334.98,0
"성수캔들공방",3220.53,0
"성수요가",2260.26,0
"성수동일식",3877.94,0
"성수동대관",1646.87,0
"성수피플",4650.74,0
"성수동눈썹",1310.76,0
"성수동음악창고",7835.58,0
"성수동중국집",2767.08,0
"성수동길",8362.7,0
"성수동1가",3947.34,0
"성수근린공원",15378.52,0
"성수동돈까스",4873.11,0
"신당",1190.14,0.02
"신당동카페",827.08,0.01
"신당동맛집",1244.19,0.02
"신당동네일",1981.87,0.02
"신당동떡볶이",4201.84,0.02
"신당맛집",1845.42,0.01
"신당역",2136.19,0.01
"신당역맛집",1738.01,0.01
"신당동",731.85,0
"신당눈썹문신",1271.71,0
"신당필라테스",1146.25,0
"신당타투",6311.66,0
"신당자연눈썹",2654.54,0
"신당중",7135.78,0
"삼척해신당공원",7199.04,0
"신대방",1901.89,0.06
"신대방맛집",1227.99,0.02
"신대방역",1125.97,0.03
"신대방타투",2245.72,0.01
"신대방삼거리맛집",2746.63,0.02
"신대방삼거리",3141.32,0.02
"신대방속눈썹",1091.01,0.01
"신대방삼거리역",7685.86,0.01
"신대방동",12809.08,0.01
"신대방동맛집",1384.13,0.01
"신대방헬스",6318.75,0
"신대방타투샵",10521.28,0
"신대방마사지",2472.88,0
"신대방피부",1144.89,0
"신대방원룸",5270.57,0
"신대방주짓수",618.09,0
"신대방삼거리원룸",2408.19,0
"신도림눈썹문신",134.46,0.03
"신도림",98.8,0.25
"신도림네일",144.17,0.04
"신도림반영구",796.64,0.02
"신도림맛집",671.48,0.05
"신도림속눈썹",707.72,0.02
"신도림카페",1485.77,0.01
"신도림네일샵",3954.78,0.01
"신도림젤네일",371.28,0.01
"신도림타투",1186.91,0
"신도림역",3151.63,0.02
"신도림미용실",2218.26,0
"신도림디큐브시티",3586.73,0.01
"신도림맘",3286.33,0.01
"신도림애견미용",3109.33,0
"신도림자연눈썹",8195.45,0
"신도림맛집추천",3927.09,0
"신도림휴대폰",336.53,0
"신도림동",7551.44,0
"신도림디큐브시티맛집",4833.49,0
"신도림네일아트",9358.35,0
"신도림피부과",3120.64,0
"신도림애슐리",2724.65,0
"신도림가구",9176.25,0
"신도림보톡스",10497.16,0
"신도림필러",8882.4,0
"신도림누벨바그",2210.55,0
"신도림남자눈썹",5436.23,0
"신도림예식장",7719.49,0
"신도림머리잘하는미용실",8451.19,0
"신도림댄스",8762.93,0
"신도림살롱드프롬",22105.92,0
"신림",72.73,0.69
"신림타투",561.57,0.04
"신림맛집",232.07,0.31
"신림눈썹문신",559.55,0.04
"신림네일",119.46,0.09
"신림미용실",461.33,0.02
"신림역",335,0.1
"신림동",550.54,0.08
"신림술집",1205.35,0.07
